Event Receive Time,Event ID,Event Type,Event Name,Incident Reporting Device,Incident Source,Source IP,Source TCP/UDP Port,Incident Target,Destination IP,Destination TCP/UDP Port,Event Severity Category,Event Severity,Count
2020-07-13 17:38:08,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.184.127.27,",10.184.127.27,,"destIpAddr:120.126.198.60, destIpPort:23,",120.126.198.60,,HIGH,9,1
2020-07-13 17:38:08,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:192.168.7.164,",192.168.7.164,,"destIpAddr:120.126.186.68, destIpPort:21,",120.126.186.68,,HIGH,9,1
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,CPH-6506,,,,"hostName:CPH-6506, hostIpAddr:192.168.210.86,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,LAW-6506,,,,"hostName:LAW-6506, hostIpAddr:192.168.210.94,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,LAW-6506,,,,"hostName:LAW-6506, hostIpAddr:192.168.210.94,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,CPH-6506,,,,"hostName:CPH-6506, hostIpAddr:192.168.210.86,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,CPH-6506,,,,"hostName:CPH-6506, hostIpAddr:192.168.210.86,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,CPH-6506,,,,"hostName:CPH-6506, hostIpAddr:192.168.210.86,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,CPH-6506,,,,"hostName:CPH-6506, hostIpAddr:192.168.210.86,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,CPH-6506,,,,"hostName:CPH-6506, hostIpAddr:192.168.210.86,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,CPH-6506,,,,"hostName:CPH-6506, hostIpAddr:192.168.210.86,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_NET_HW_WARN,Network Device Hardware Warning,LAW-6506,,,,"hostName:LAW-6506, hostIpAddr:192.168.210.94,",,,MEDIUM,5,82
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,HOST-120.126.192.41,"srcIpAddr:192.168.106.242,",192.168.106.242,,,,,MEDIUM,7,6399
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,HOST-120.126.192.41,"srcIpAddr:192.168.106.32,",192.168.106.32,,,,,MEDIUM,7,5287
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"HOST-10.204.1.13,HOST-120.126.192.41,Sonicwall,paloalto","srcGeoCountry:Viet Nam,",,,,,,MEDIUM,7,9140
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.106.74,",192.168.106.74,,,,,MEDIUM,7,7368
2020-07-13 17:38:08,,PH_RULE_INAPPROPRIATE_WEB_TRAFFIC,Inappropriate Website access detected,Sonicwall,"srcIpAddr:192.168.101.175,",192.168.101.175,,,,,MEDIUM,7,3602
2020-07-13 17:38:08,,PH_RULE_VMWARE_DATASTORE_SPACE_WARN,Datastore Space Warning,NTPU-FortiSIEM-ESXi,,,,"hostName:NTPU-FortiSIEM-ESXi, datacenter:ha-datacenter,",,,MEDIUM,7,39
2020-07-13 17:38:08,,PH_RULE_EXCESS_FAILED_LOGON_2_NET_DEV,Multiple Logon Failures: Net Dev,paloalto,"srcIpAddr:144.134.24.53,",144.134.24.53,,"destName:paloalto, destIpAddr:10.204.1.13, user:,",10.204.1.13,,MEDIUM,8,1
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_DNS_QUERY,Excessive Denied DNS Queries,paloalto,"srcIpAddr:147.203.238.18,",147.203.238.18,,,,,MEDIUM,6,289
2020-07-13 17:38:08,,PH_RULE_ANOMALY_TRAFFIC_TO_DEST,Sudden Increase in Traffic To Host,paloalto,,,,"destIpAddr:120.126.151.123,",120.126.151.123,,MEDIUM,7,78
2020-07-13 17:38:08,,PH_RULE_LARGE_OUTBOUND_XFER_OUTSIDE_COUNTRY,Large Outbound Transfer To Outside My Country,FortiGate-NTPU-Taipei,"srcIpAddr:172.16.106.21,",172.16.106.21,,"destIpAddr:192.192.35.254,",192.192.35.254,,MEDIUM,8,771
2020-07-13 17:38:08,,PH_RULE_LARGE_OUTBOUND_XFER_OUTSIDE_COUNTRY,Large Outbound Transfer To Outside My Country,FortiGate-NTPU-Taipei,"srcIpAddr:172.16.108.60,",172.16.108.60,,"destIpAddr:192.192.35.254,",192.192.35.254,,MEDIUM,8,768
2020-07-13 17:38:08,,PH_RULE_EXCESS_DENY_PORT,Excessive Denied Connections To A Port,HOST-10.204.1.13,,,,"destIpPort:445,",,,MEDIUM,7,18514
